link,comment_id,parent_id,username,text,created_at,like_count,reply_count
https://www.instagram.com/p/DOVkQ2Sk5FW/,18138403693427854,,dwikendala,"MenHut,, Aman sulaiman Coooy",1757326024,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17919760752150448,,xiedeblack,MANA KAPOLRINYA..?? 🔥🔥,1757326025,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18401813230186969,,dhavarizkyarr,Req Bahlil pak🙌,1757326027,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18106027711566161,,loveandbelonging,Lah nambah kementrian haji dan unroh. Mentri agama ngapain? Di bubarin ajah.,1757326031,1,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18529245394004100,,fairuzelfath,Bahlil?,1757326036,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18094102870680906,,fauzanwardiansyah_,Itu si keling goblin ga di reshuffle juga kah?,1757326039,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17933042438965367,,al_hawarr,alhamdulillah👏,1757326043,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18181170715328293,,pskskf,"Hmm menteri koperasi diganti, ada apaan tuh koperasi merah putih program utama kementerian ini yg didanai hasil duit rakyat, di salah gunakan kah?",1757326043,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18076496537073841,,fjr_alp905,JOKOWImania OUT  GERINDRA IN🔥,1757326047,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17849337579552689,,fbr.koto,mana green goblin,1757326049,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18053339063560290,,joey_niguez,kaya chelsea aja rombak terus,1757326053,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18097552414641622,,muh.pikrii,si kipli ga di reshuffle oii,1757326053,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17853977751477530,,a_man_and_his_dream,Ada bahlil engga?,1757326055,1,1
https://www.instagram.com/p/DOVkQ2Sk5FW/,17943114417028722,17853977751477530,faislhfz,@a_man_and_his_dream kurg bahlil,1757328841,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18077588500970820,,dhimazwijaya,Bahlul sama Pigai kok gak diganti ?,1757326058,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18099677050527493,,chikubell,"Nah gini bagus ada update kenegaraan, pemain lama diganti pemain baru",1757326061,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18070709573516813,,oliviarizal_,Semoga amanah yee,1757326063,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17951187312002686,,ippunk_tetsuya,Bahlil ganti,1757326069,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18038360582692540,,wumbologyexpert,IDR 📉📉📉,1757326069,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18076515767072278,,jauyzt,Bahlul blm kena😂,1757326070,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18022166024737863,,bonyrs__,Cuma ganti kabinet korupsinya mah tetep jalan dan lebih rapi lagi mainnya 😍😍🙌,1757326073,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18029990603708677,,juarfa18,menurun langsung saham,1757326073,1,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18523176319002006,,rizky_jisantt,"Menteri ESDM, menteri dalam negeri, menteri ham gk diganti sekalian?😂",1757326073,6,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17919006795154026,,ianone__,"Cooo sri mulyani diganti, gebrakan wowo onok ae asu asu",1757326080,20,8
https://www.instagram.com/p/DOVkQ2Sk5FW/,17944048653046700,17919006795154026,billypradhn,@ianone__ turuo ae yan rame ae,1757326911,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18085490422893467,17919006795154026,satriogumilangg,@ianone__ banyak mau wir wir,1757327156,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18100087279618933,17919006795154026,ianone__,@billyprdhn day 1 jadi musuh masyarakat,1757327271,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17976741536916960,,lutfi.uj,Bahlul menteri apa guys? Kok ga diganti,1757326093,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18293120635253573,,yoodha,Berkarirlah di kancah internasional bu SM 👏,1757326093,1,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18063327419362802,,ridwan.asharii,Bahlul gak d ganti pak?,1757326094,3,1
https://www.instagram.com/p/DOVkQ2Sk5FW/,17981044859903088,,azward.in,Saya mao dong pak jadi mentri,1757326097,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17855244078517343,,hannaftryn_,"Pak Bahlil pak, Mentri kehutanan jga",1757326100,1,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17990357996700508,,pqrsep,eh budi judol diganti? siap siap  masuk bui kah? wkwkwkw,1757326100,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17916508752178653,,aryayaap,bursa transfer pemain kah?,1757326101,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18057241979577198,,teguhrzkprmn,"Yok drama berlanjut, next ada yang masuk nih....",1757326108,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17943766236022187,,jo.arthaeffendi,"Cihuy, sri kontl diganti wkwk",1757326110,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17972830979779654,,ajeje_ay,Ini saya ada portofolio pak mau ngelamar jadi mentri haji,1757326114,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18174121258348695,,puspitamlyn,"Luhut, Bahlil kapan nih?",1757326114,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17896146486280741,,ismailabd.al,si bahlul? luhut?,1757326115,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17929108920070487,,mhdbhrlulumm_,"Awas aja dah ganti, ntr netijen protes lagi",1757326116,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17960413580834910,,adellaardhni_,Mantap presiden ku 🔥❤️,1757326120,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18091740442685482,,lutfi.upay28,Bahlil & Si kang domino gak diganti ape?!,1757326120,20,4
https://www.instagram.com/p/DOVkQ2Sk5FW/,18082121338899724,18091740442685482,jnurcy_,domino siapa bg,1757326504,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17859028587497314,18091740442685482,fafaa_________,Tunggu tgl mainnya kk,1757326597,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18058837862577699,18091740442685482,lutfi.upay28,@jnurcy_ yang lg viral main sama kang babat hutan,1757326763,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18422841694097183,,yanpurnanto,berani juga sri mulyani di ganti ☠️,1757326123,3,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18019899380574767,,raden.aam,Lebih layak si bahlil yang diganti.,1757326125,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17869914351352922,,a.ramadhan1,Lebih baik/lebih cemas?,1757326128,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18091438096688205,,tedium.swing,Bahlil endi pak?,1757326128,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18043656830368463,,aji.dewantoro7,@bangadit_69,1757326129,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18073387796472792,,couldbeblasphemy,"malah nambah kementerian, sempat2nya bagi2 jabatan 😂",1757326132,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18003599309804183,,kemaljm_,Request Bahlil sama Natalius Pigai min. Udah like & follow🙌,1757326136,0,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17851836426541500,,frsardan_,Welcome to awal kejatuhan IHSG segitu berpengaruhnya srimul😍,1757326140,8,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17983717262884130,,nolanawls,"Bu Sri diganti , hmmmm alamat diae dipanggil Bank Dunia Lagi....",1757326145,50,1
https://www.instagram.com/p/DOVkQ2Sk5FW/,17975246945767706,17983717262884130,arcahyanti_,biar dia menaikkan pajak dunia,1757326652,3,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,18397335106138038,,reyshahy,Nama bahlil mana wok,1757326146,1,0
https://www.instagram.com/p/DOVkQ2Sk5FW/,17900238279259499,,andy_vvb,Mentri olahraga diganti siapa,1757326147,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18144399826372751,,miniaturmotor_indonesia,Yessssss. . Menteri² titipan sikat abis Pak 🔥🔥,1757323312,291,22
https://www.instagram.com/p/DOVgH1REW8G/,18102612697582413,18144399826372751,alinuralghozali,"@adakahcafe2020 banyak2 belajar bro, kenapa sri terbaik!! Negara di hantam pengeluaran ugal2 mulai dr kereta cpt, ikn, belanja peralatan militer yg besar, BUMN kolaps, korupsi serta hutang yg semua nilainya bisa puluhan ribu triliun tetapi indonesia baik2 saja bahkan APBN surplus tdk difisit, meski dibayar dengan kenaikan pajak dan ekonomi dunia tdk baik2 saja, ntah habis ini indonesia semoga tdk krismon",1757333854,2,0
https://www.instagram.com/p/DOVgH1REW8G/,18075964691285568,18144399826372751,i.ilm,@diary.2id buktinya srimul waktu era presiden SBY bisa lunasi hutang IMF sebenarnya tergantung kebijakan presiden sih masing-masing presiden punya kebijakan dan prioritas,1757337835,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18173968561353672,,chandra182121,"Terimakasih banyak bapak presiden kita,yg telah mendengar suara rakyat mu...sehat selalu bapak 😍",1757323395,220,4
https://www.instagram.com/p/DOVgH1REW8G/,17842210947576344,18173968561353672,fahmirosyada10,@erlis_na_erlis si bahlul mah kayanya harus ngelawan memedi poon beringin dulu dah,1757328346,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18070152211911805,18173968561353672,febzen_96,"@chandra182121 nah gitu,seneng juga denger nya ada yg terima kasih",1757331604,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18070301542933804,18173968561353672,khoirulfl,@chandra182121 Fufufafa sekalian ganti,1757337727,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18304766827247801,,grestyan,Woww sri mulyani kenaa,1757323818,12,8
https://www.instagram.com/p/DOVgH1REW8G/,18109632628549394,18304766827247801,driciv,@arumi1307 wkwkw masih percaya sama tempo😂,1757334675,1,0
https://www.instagram.com/p/DOVgH1REW8G/,17998607114660649,,muhammad_hezra,Kapolrinya belom pak😢,1757323217,519,21
https://www.instagram.com/p/DOVgH1REW8G/,18019747172766943,17998607114660649,ox_tiz.din,@muhammad_hezra asal maju kesandung nanti😂 ga segampang itu kalo cepet,1757330298,0,0
https://www.instagram.com/p/DOVgH1REW8G/,17932650141088331,17998607114660649,uciharoyy,@muhammad_hezra ga kau suruh pun psti diganti krn udh kelamaan menjabat bkn krn demo kemaren,1757333635,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18078296953981120,17998607114660649,khoirulfl,@muhammad_hezra Fufufafa kapan?,1757337705,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18041952932657552,,arifback11,tolong pak sibahlil sama kakek luhut dignti juga,1757323612,515,18
https://www.instagram.com/p/DOVgH1REW8G/,18067618931190981,18041952932657552,zaqub.orenska28,@arifback11  setuju 🔥🔥,1757335522,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18154642774377345,18041952932657552,khoirulfl,@arifback11 wapresnya jg ganti harusnya😂🤣,1757337778,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18174443899345297,18041952932657552,arifback11,@khoirulfl nahh ini no 1 pling pnting jga,1757339401,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18041635469663155,,ulye_zriyani,"Admin maaf kalau aku suka numpang lapak, aku ga berhenti ngajak teman teman buat bantu kawal kasus anak kami yang dianiaya temannya dipondok pesantren, kronologi dan fakta fakta ada di feed, terimakasih untuk semua teman teman dana admin 🙏",1757323187,273,16
https://www.instagram.com/p/DOVgH1REW8G/,18091552147688136,18041635469663155,ulye_zriyani,"@iln.yoll Lihat di feed ya mas, biar sekalian Kronologi nya terimakasih untuk teman teman semua tidakd apat balas satu persatu 🙏",1757327164,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18050944439632512,18041635469663155,ryan_wtp,@ulye_zriyani up,1757329211,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18105466096575251,18041635469663155,aldyanometer,@ulye_zriyani up yuk bntu,1757337234,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18011916854787819,,hanafi__18,"Erik, bahlil, luhut ? Permanent employee ?",1757324891,49,16
https://www.instagram.com/p/DOVgH1REW8G/,18070076345470068,18011916854787819,hanafi__18,"@arifbd_ kuat banget, nanti Tuhan yang lengserin, sekalian dari dunia",1757335177,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18113334172525992,18011916854787819,khoirulfl,@hanafi__18 sekalian wapresnya Fufufafa di reshuffle😂,1757337678,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18102103540608506,18011916854787819,m_arie66,@hanafi__18 bahlil gitu2 masalah bumn masih rada ok 😂 soalnya nurut.,1757356111,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18102834340525167,,lalunatyana,Bahlil sih mestinya ikut ke sapu mah 😂,1757326053,10,5
https://www.instagram.com/p/DOVgH1REW8G/,18080231449933147,18102834340525167,ab_ilman,"@suryaaje_ nahh itu bang, Gua juga nunggu Berita tuh orang kena kasus apa giu 😂",1757329973,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18061476512371719,18102834340525167,so_lichaa,"Erick thohir,opung,nusron,,",1757331618,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18357499048087304,18102834340525167,lalunatyana,@so_lichaa opung agak sulit. Erick kayanya udh lampu merah. 😂,1757341273,0,0
https://www.instagram.com/p/DOVgH1REW8G/,18078084064993373,,sidingin112,SATU LAGI PAK MENTERI HAM 🙏🏻🙏🏻,1757323597,115,5
https://www.instagram.com/p/DOVgH1REW8G/,17861439174417387,18078084064993373,mbayuaprianto,Mentri Ham orangnya pak prabowo,1757329030,1,0
https://www.instagram.com/p/DOVgH1REW8G/,17962238618976289,18078084064993373,khoirulfl,Wapresnya jg ganti,1757337739,1,0
https://www.instagram.com/p/DOVgH1REW8G/,17886092316358587,18078084064993373,celwmotan_met_met,@mbayuaprianto iya ga bisa la mendingan Bahlil la yg dicopot sama si opung asli gw gedek bgt,1757382637,0,0
https://www.instagram.com/p/DOVgH1REW8G/,17965473317807055,,iwazza.kun,"𝙬𝙖𝙠𝙞𝙡 𝙣𝙮𝙖 𝙜𝙠 𝙗𝙞𝙨𝙖 𝙮𝙖 𝙗𝙧𝙤, 𝙨𝙠𝙞𝙡𝙡  𝙗𝙖𝙬𝙖𝙖𝙣 𝙣𝙮𝙖 𝙥𝙚𝙧𝙢𝙖𝙣𝙚𝙣 𝙨𝙤𝙖𝙡𝙣𝙮𝙖",1757323185,111,26
https://www.instagram.com/p/DOVgH1REW8G/,17919273528080052,17965473317807055,gandung.ra,@zardioka manuk akal,1757330479,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18089879344774426,17965473317807055,wecandwit,"Lah dulu ""gk punya wakil"" aja fine2 aja 😂",1757332060,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18041330732392461,,andrejosafat_,"Menkeu yang gantiin bu Sri Mulyani ga salah pak?🙃, kalo diliat-liat dari profil & latar belakangnya🙄",1757323419,48,12
https://www.instagram.com/p/DOVgH1REW8G/,18220080883306495,18041330732392461,andrejosafat_,"@fahri_noviantoo background pendidikan ekonomi cuma di S3, S1&S2 ga belajar soal ekonomi.",1757325167,1,0
https://www.instagram.com/p/DOVgH1REW8G/,18052554575222616,18041330732392461,rhisky.26,@fahri_noviantoo apalah liat krna lulusan luar negeri😂😂padah background pendidiknya aja beda sma jabatannya,1757347091,0,0
